Year,Malaysia,Johor,W.P..Kuala.Lumpur,Selangor,Pulau.Pinang,Negeri.Sembilan,Perak,Melaka,Kedah,Pahang,Terengganu,Kelantan,Perlis,Sabah,Sarawak
2011.5,4.162377261,3.159207373,4.691602297,3.338595808,4.158345125,2.824072672,3.131587912,2.081114407,3.541910873,3.642065079,4.053583931,3.293453418,3.107475255,6.376505374,5.545616066
2011.75,4.240389665,3.190183938,4.68836432,3.432866671,4.300373259,2.841005271,3.175920836,2.085401447,3.546973378,3.646107838,4.099369829,3.418334047,3.135476104,6.483331569,5.416148335
2012,4.310233333,3.164734507,4.806671714,3.486033984,4.322040884,2.965417395,3.189754791,2.049380122,3.506836983,3.705919003,4.10028569,3.168902567,2.769573205,6.433923083,5.789871108
2012.25,4.332401578,3.184654626,4.587484036,3.666382178,4.420400535,2.835232198,3.141973612,2.053371952,3.375906466,3.83635491,4.135276968,3.169698608,3.009437084,6.372560914,5.660330618
2012.5,4.313135613,3.124688238,4.579227013,3.66965656,4.438116394,2.778707651,3.207193312,1.956781315,3.382046589,3.64730175,4.097425774,3.144514209,2.827567125,6.647436655,5.532607272
2012.75,4.391083067,3.377808531,4.911031806,3.562114101,4.464820209,2.829400667,3.229133927,1.993147799,3.289461915,3.755411392,4.057346207,3.342350689,2.818716089,6.343496052,6.05150688
2013,4.296158334,3.334008283,4.811813687,3.469230769,4.472921192,2.792965709,3.126194132,2.022397038,3.332995909,3.626586713,4.096018824,3.408978643,2.754311245,6.561422252,6.081662512
2013.25,4.345038836,3.412265695,4.780874407,3.557894399,4.681645616,2.811582633,3.114057029,1.943933913,3.251186285,3.716236722,4.197641348,3.320821017,2.770628419,6.382664544,6.032064769
2013.5,4.409469325,3.399086444,4.90029567,3.653418924,4.780049781,2.830791113,3.155638454,1.838756169,3.258576033,3.716903144,4.151868947,3.265353175,2.704142713,6.424825737,6.041686305
2013.75,4.347566355,3.37930031,4.855165544,3.599147977,4.811087946,2.829310636,3.086325195,1.81760512,3.152205382,3.752416096,4.056724789,3.374147328,2.800700276,6.496096002,5.727022225
2014,4.293749661,3.250053703,4.748698529,3.584161415,4.78740475,2.766742554,3.143587941,1.773238505,3.12129671,3.691860465,4.014223422,3.375908479,2.861848519,6.325049532,5.862434131
2014.25,4.376814496,3.511179043,4.847195927,3.58748717,4.851169219,2.867614061,3.144748767,1.80968457,3.084854659,3.699620667,3.972059022,3.313279725,2.761609393,6.410205786,5.996760593
2014.5,4.429914766,3.636750297,4.969564852,3.630614571,4.924619529,2.932457757,3.1375007,1.8223076,3.087421896,3.710326479,3.904618275,3.226186601,2.815469372,6.453804212,6.024369706
2014.75,4.395703678,3.528165345,4.915481197,3.587196753,4.887889998,2.929949715,3.050773231,1.835424175,3.130239748,3.761911241,3.921206852,3.218118333,2.84883169,6.555552809,5.958920102
